state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
Vermont,2017,594807,French (incl. Cajun),8558,Spanish,5878,German,2156,"Nepali, Marathi, or other Indic languages",2094,"Chinese (incl. Mandarin, Cantonese)",1894
Virginia,2017,7856030,Spanish,544455,"Chinese (incl. Mandarin, Cantonese)",59595,Korean,56852,Arabic,50869,Vietnamese,49744
Washington,2017,6721822,Spanish,563389,"Chinese (incl. Mandarin, Cantonese)",98241,Vietnamese,61224,Tagalog (incl. Filipino),58642,Russian,57825
West Virginia,2017,1735798,Spanish,17955,"Chinese (incl. Mandarin, Cantonese)",2823,German,2642,French (incl. Cajun),2300,Arabic,2018
Wisconsin,2017,5425745,Spanish,249076,Hmong,45546,German,31618,"Chinese (incl. Mandarin, Cantonese)",16757,"Yiddish, Pennsylvania Dutch or other West Germanic languages",10775
Wyoming,2017,545743,Spanish,27302,Other Native languages of North America,2145,German,2050,French (incl. Cajun),1292,"Chinese (incl. Mandarin, Cantonese)",914
Puerto Rico,2017,3296764,Spanish,3107078,"Chinese (incl. Mandarin, Cantonese)",1274,French (incl. Cajun),1178,Italian,735,Portuguese,559
Alabama,2018,4572555,Spanish,148420,"Chinese (incl. Mandarin, Cantonese)",10049,Korean,9208,German,7781,Vietnamese,7585
Alaska,2018,684276,Other Native languages of North America,28970,Spanish,24378,Tagalog (incl. Filipino),18126,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",5661,Russian,5373
Arizona,2018,6510583,Spanish,1338389,Navajo,84658,"Chinese (incl. Mandarin, Cantonese)",34917,Other Native languages of North America,28402,Tagalog (incl. Filipino),26633
Arkansas,2018,2800360,Spanish,149618,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",6510,"Chinese (incl. Mandarin, Cantonese)",5608,Vietnamese,5043,German,4186
California,2018,36668081,Spanish,10529621,"Chinese (incl. Mandarin, Cantonese)",1217206,Tagalog (incl. Filipino),798884,Vietnamese,548129,Korean,368099
Colorado,2018,5195942,Spanish,612425,"Chinese (incl. Mandarin, Cantonese)",24813,German,23951,Vietnamese,19998,French (incl. Cajun),17294
Connecticut,2018,3396521,Spanish,400036,Portuguese,35491,Polish,33306,"Chinese (incl. Mandarin, Cantonese)",29080,Italian,28209
Delaware,2018,894641,Spanish,62657,"Chinese (incl. Mandarin, Cantonese)",7463,Haitian,3117,Tagalog (incl. Filipino),2966,"Yoruba, Twi, Igbo, or other languages of Western Africa",2780
District of Columbia,2018,639806,Spanish,57321,French (incl. Cajun),9015,"Amharic, Somali, or other Afro-Asiatic languages",6671,"Chinese (incl. Mandarin, Cantonese)",5121,German,2691
Florida,2018,19480719,Spanish,4199678,Haitian,415809,Portuguese,110832,French (incl. Cajun),106486,"Chinese (incl. Mandarin, Cantonese)",74711
Georgia,2018,9641674,Spanish,770037,"Chinese (incl. Mandarin, Cantonese)",49100,Korean,47552,Vietnamese,45853,French (incl. Cajun),38697
Hawaii,2018,1331641,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",126637,Tagalog (incl. Filipino),58832,Japanese,43031,"Chinese (incl. Mandarin, Cantonese)",33741,Spanish,29100
Idaho,2018,1573645,Spanish,126615,"Chinese (incl. Mandarin, Cantonese)",4697,German,3900,Arabic,3431,French (incl. Cajun),2972
Illinois,2018,12044540,Spanish,1616278,Polish,175937,"Chinese (incl. Mandarin, Cantonese)",105748,Tagalog (incl. Filipino),81617,Arabic,68241
Indiana,2018,6219127,Spanish,288582,German,30677,"Chinese (incl. Mandarin, Cantonese)",28011,"Yiddish, Pennsylvania Dutch or other West Germanic languages",27048,Other languages of Asia,16159
Iowa,2018,2935069,Spanish,118709,"Chinese (incl. Mandarin, Cantonese)",12313,German,10706,Vietnamese,8549,Arabic,7986
